id,ime,podrocje,nadstropje,leto,velikost,cena,posredovanje,tip1
6064564,"LJ. BEŽIGRAD, ČRNUČE",Bezigrad,2,1956,90.7,220000.0,Prodaja,Stanovanje
6031962,"LJ. BEŽIGRAD, ČRNUČE",Bezigrad,2,2009,105.0,210000.0,Prodaja,Stanovanje
6031963,"LJ. BEŽIGRAD, ČRNUČE",Bezigrad,P,2009,120.0,220000.0,Prodaja,Stanovanje
6051180,"LJ. BEŽIGRAD, ČRNUČE, DUNAJSKA CESTA",Bezigrad,2,2010,129.0,270000.0,Prodaja,Stanovanje
6045607,"LJ. BEŽIGRAD, ČRNUČE, SAVSKI BREG",Bezigrad,P,2009,62.0,148000.0,Prodaja,Stanovanje
5970259,"LJ. BEŽIGRAD, ČRTOMIROVA ULICA",Bezigrad,4,1969,48.0,115000.0,Prodaja,Stanovanje
6039102,"LJ. BEŽIGRAD, DUNAJSKA CESTA",Bezigrad,1,2011,73.6,195000.0,Prodaja,Stanovanje
6013130,"LJ. BEŽIGRAD, DUNAJSKA CESTA 144",Bezigrad,5,2014,163.0,469000.0,Prodaja,Stanovanje
6010408,"LJ. BEŽIGRAD, DUNAJSKA CESTA, STOŽICE",Bezigrad,P,2000,45.0,110000.0,Prodaja,Stanovanje
6017404,"LJ. BEŽIGRAD, DUNAJSKI KRISTALI",Bezigrad,P,2009,79.6,260000.0,Prodaja,Stanovanje
6044342,"LJ. BEŽIGRAD, DUNAJSKI KRISTALI, LAHKO 4 - SOBNO",Bezigrad,2,2010,228.0,458000.0,Prodaja,Stanovanje
5818609,"LJ. CENTER, PRI BOTANIČNEM VRTU",Center,P,2017,157.0,2300.0,Prodaja,Stanovanje
6050179,LJ. CENTER,Center,M,2008,30.37,85000.0,Prodaja,Stanovanje
6068313,LJ. CENTER,Center,1,1896,34.8,85000.0,Prodaja,Stanovanje
6063987,LJ. CENTER,Center,6,1970,42.4,165000.0,Prodaja,Stanovanje
6042265,LJ. CENTER,Center,P,2008,44.7,190000.0,Prodaja,Stanovanje
6053201,LJ. CENTER,Center,VP,1964,48.4,125000.0,Prodaja,Stanovanje
6035208,LJ. CENTER,Center,VP,2008,55.0,250000.0,Prodaja,Stanovanje
6069625,LJ. CENTER,Center,3,2009,80.0,82750.0,Prodaja,Stanovanje
5793489,LJ. CENTER,Center,1,1930,67.0,110000.0,Prodaja,Stanovanje
6050483,LJ. CENTER,Center,3,1998,72.1,237800.0,Prodaja,Stanovanje
6061479,LJ. CENTER,Center,1,1999,73.57,460000.0,Prodaja,Stanovanje
6068472,LJ. CENTER,Center,4,1989,75.0,235000.0,Prodaja,Stanovanje
5767478,LJ. CENTER,Center,2,1971,76.0,250000.0,Prodaja,Stanovanje
6065106,LJ. CENTER,Center,3,1928,83.8,319000.0,Prodaja,Stanovanje
6067787,LJ. CENTER,Center,2,1970,85.8,255000.0,Prodaja,Stanovanje
6035665,LJ. CENTER,Center,3,1970,88.8,280000.0,Prodaja,Stanovanje
6069902,LJ. CENTER,Center,6,1979,92.5,196000.0,Prodaja,Stanovanje
6065633,LJ. CENTER,Center,4,1932,96.8,298000.0,Prodaja,Stanovanje
6069811,LJ. CENTER,Center,4,1954,103.6,269000.0,Prodaja,Stanovanje
6066585,LJ. CENTER,Center,3,1651,107.9,225000.0,Prodaja,Stanovanje
6070040,LJ. CENTER,Center,2,1895,110.0,650000.0,Prodaja,Stanovanje
5775844,LJ. CENTER,Center,1,1902,111.0,325000.0,Prodaja,Stanovanje
6066584,LJ. CENTER,Center,3,1651,115.3,250000.0,Prodaja,Stanovanje
5982718,LJ. CENTER,Center,2,1930,118.0,320000.0,Prodaja,Stanovanje
6066486,LJ. CENTER,Center,2,1924,124.0,412000.0,Prodaja,Stanovanje
6066583,LJ. CENTER,Center,2,1908,128.0,549000.0,Prodaja,Stanovanje
6050844,LJ. CENTER,Center,4,1971,135.5,330000.0,Prodaja,Stanovanje
6067059,LJ. CENTER,Center,4,1908,140.0,449000.0,Prodaja,Stanovanje
6068415,LJ. CENTER,Center,3,1905,141.1,250000.0,Prodaja,Stanovanje
6059251,LJ. CENTER,Center,3,1903,150.0,549000.0,Prodaja,Stanovanje
6001286,LJ. CENTER,Center,2,1895,157.5,495000.0,Prodaja,Stanovanje
6053672,LJ. CENTER,Center,1,1886,167.0,615000.0,Prodaja,Stanovanje
6059323,LJ. CENTER,Center,6,2009,168.1,410755.0,Prodaja,Stanovanje
6055126,LJ. CENTER,Center,1,1937,186.3,519000.0,Prodaja,Stanovanje
5729536,LJ. CENTER,Center,4,1903,192.0,565000.0,Prodaja,Stanovanje
6053781,LJ. CENTER,Center,M,1903,192.5,590000.0,Prodaja,Stanovanje
5776455,LJ. CENTER,Center,1,1938,232.0,595000.0,Prodaja,Stanovanje
6066650,LJ. CENTER,Center,1,1908,262.4,520000.0,Prodaja,Stanovanje
6066625,LJ. CENTER,Center,1,1650,354.9,650000.0,Prodaja,Stanovanje
6052102,LJ. CENTER,Center,M,1650,613.0,550000.0,Prodaja,Stanovanje
5630677,"LJ. CENTER, BARVARSKA UL., KAPITEL",Center,1,1998,52.7,330000.0,Prodaja,Stanovanje
6047608,"LJ. CENTER, BLIZU ROTOVŽA",Center,6,1970,40.0,159000.0,Prodaja,Stanovanje
5889473,"LJ. CENTER, BLIŽINA DRAME, OPERE IN TRŽNICE",Center,2,1895,110.0,490000.0,Prodaja,Stanovanje
6063537,"LJ. CENTER, BLIŽINA MEDICINSKE FAKULTETE",Center,VP,1964,53.4,125000.0,Prodaja,Stanovanje
6058751,"LJ. CENTER, BREG",Center,2,1760,54.0,162500.0,Prodaja,Stanovanje
